source_path,source_filename,source_sha256,collection,canonical_filename,unit_type,top_level_unit,unit_identifier,document_title,topic_slug,destination_path,transformed_sha256,classification_evidence,status
01-scope-cornell-notes.tex,01-scope-cornell-notes.tex,f61e0e602dfcb7a59f3f26d389c37df98d56ee40c776575a1f7a1eeabba34710,iso,01-scope-cornell-notes.tex,Clause,01,01,Scope,01-scope,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/01-scope/01-scope-cornell-notes.tex,9436503042fd54e83285a26574e45c2d836abc54f0c3be96fd830b31628efcec,ISO-specific CNavy/CLight Cornell template,installed
02-normative-references-cornell-notes.tex,02-normative-references-cornell-notes.tex,35e421dab7c059e4d1992379f9949724387e08c2b803bcd41c9fd21cedd04737,iso,02-normative-references-cornell-notes.tex,Clause,02,02,Normative References,02-normative-references,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/02-normative-references/02-normative-references-cornell-notes.tex,ea98d46164261af1dcc920b9b6140d01253251577fe405ad977dd12494fcf103,ISO-specific CNavy/CLight Cornell template,installed
03-01-architecting-cornell-notes.tex,03-01-architecting-cornell-notes.tex,34ca07dade806efd3b7dad981fd05ec4b170818469b3a4d8b12bf5d11f7c014e,iso,03-01-architecting-cornell-notes.tex,Clause,03,03.01,Architecting,03-architecting,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-architecting/03-01-architecting-cornell-notes.tex,74bf5d30b28f4527a1f2f32dfd5be0bab07e7dd54d4f8141976d5d2a422df9b3,ISO-specific CNavy/CLight Cornell template,installed
03-02-architecture-cornell-notes.tex,03-02-architecture-cornell-notes.tex,58eced0dcbeca0abd9d266337b9c284153e578f00bad55fe55045d48f8b51683,iso,03-02-architecture-cornell-notes.tex,Clause,03,03.02,Architecture,03-architecture,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-architecture/03-02-architecture-cornell-notes.tex,36d24e5452cf82b4868ca8d04c5d628a048f829097eb5ace86f01c2b44c3f56d,ISO-specific CNavy/CLight Cornell template,installed
03-03-architecture-description-cornell-notes.tex,03-03-architecture-description-cornell-notes.tex,c7d22adf86fc20fffe5eab3144adb53b764c5649931d83caa4e98d0c0331cb1c,iso,03-03-architecture-description-cornell-notes.tex,Clause,03,03.03,Architecture Description,03-architecture-description,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-architecture-description/03-03-architecture-description-cornell-notes.tex,9f0beef4d776256fce881b86b63c8982d89d615b9c6d46fa65be32bf139a083a,ISO-specific CNavy/CLight Cornell template,installed
03-04-architecture-description-element-cornell-notes.tex,03-04-architecture-description-element-cornell-notes.tex,34024338f3855e4162c7d98962ab90425ceeef9ebd39e107b546516a1e2d48d1,iso,03-04-architecture-description-element-cornell-notes.tex,Clause,03,03.04,Architecture Description Element,03-architecture-description-element,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-architecture-description-element/03-04-architecture-description-element-cornell-notes.tex,83465f5f9bb3d85dcef6c62028b57f4587918c515d411bfb4ce332d3876bf323,ISO-specific CNavy/CLight Cornell template,installed
03-05-architecture-description-framework-cornell-notes.tex,03-05-architecture-description-framework-cornell-notes.tex,271fc95a6fcfbc7e3d6dfc38bb22f65f71e9dcce9f1b38beee5c1e0adb2c3d40,iso,03-05-architecture-description-framework-cornell-notes.tex,Clause,03,03.05,Architecture Description Framework,03-architecture-description-framework,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-architecture-description-framework/03-05-architecture-description-framework-cornell-notes.tex,34a5799c0b1a41d0bcfb4404948d415b70a47b487ab959e69ef954992f999021,ISO-specific CNavy/CLight Cornell template,installed
03-06-architecture-description-language-cornell-notes.tex,03-06-architecture-description-language-cornell-notes.tex,d1b10ae6e2431ebb7f9d704ce4e01ab1490f4db797fd5be9a68231d18551d437,iso,03-06-architecture-description-language-cornell-notes.tex,Clause,03,03.06,Architecture Description Language,03-architecture-description-language,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-architecture-description-language/03-06-architecture-description-language-cornell-notes.tex,5c95370e8bedaf416d8c481c9758a9b61074d487b6b666ac5d10f5bdc176542d,ISO-specific CNavy/CLight Cornell template,installed
03-07-architecture-view-cornell-notes.tex,03-07-architecture-view-cornell-notes.tex,dccc7b048c3fd143cd1f0b9609ec99385ad9428033f2d9641fc3332598cfb64e,iso,03-07-architecture-view-cornell-notes.tex,Clause,03,03.07,Architecture View,03-architecture-view,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-architecture-view/03-07-architecture-view-cornell-notes.tex,9a0aa480ee46fa131e537042369121db33ed2e33ae1fae14dccf030269a2fbbe,ISO-specific CNavy/CLight Cornell template,installed
03-08-architecture-viewpoint-cornell-notes.tex,03-08-architecture-viewpoint-cornell-notes.tex,757479af4bfb99e160672e6543b46a275d58ce1e0f0bfe62289831981a63b602,iso,03-08-architecture-viewpoint-cornell-notes.tex,Clause,03,03.08,Architecture Viewpoint,03-architecture-viewpoint,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-architecture-viewpoint/03-08-architecture-viewpoint-cornell-notes.tex,3f05b64b97923778c376f39db59601409cfe9bfff0bda0110a4b6e5f4ea7560d,ISO-specific CNavy/CLight Cornell template,installed
